State,sex,age,BMI Range,bmi
AK,Female,13,Normal,1
AK,Female,14,Normal,53
AK,Female,14,Obese,6
AK,Female,14,Overweight,16
AK,Female,14,Underweight,8
AK,Female,15,Normal,105
AK,Female,15,Obese,15
AK,Female,15,Overweight,26
AK,Female,15,Underweight,16
AK,Female,16,Normal,90
AK,Female,16,Obese,14
AK,Female,16,Overweight,27
AK,Female,16,Underweight,21
AK,Female,17,Normal,108
AK,Female,17,Obese,14
AK,Female,17,Overweight,16
AK,Female,17,Underweight,7
AK,Female,18,Normal,62
AK,Female,18,Obese,10
AK,Female,18,Overweight,12
AK,Female,18,Underweight,4
AK,Male,13,Normal,2
AK,Male,14,Normal,36
AK,Male,14,Obese,5
AK,Male,14,Overweight,8
AK,Male,14,Underweight,6
AK,Male,15,Normal,114
AK,Male,15,Obese,18
AK,Male,15,Overweight,33
AK,Male,15,Underweight,16
AK,Male,16,Normal,92
AK,Male,16,Obese,10
AK,Male,16,Overweight,26
AK,Male,16,Underweight,6
AK,Male,17,Normal,96
AK,Male,17,Obese,17
AK,Male,17,Overweight,40
AK,Male,17,Underweight,5
AK,Male,18,Normal,68
AK,Male,18,Obese,12
AK,Male,18,Overweight,24
AK,Male,18,Underweight,2
AR,Female,13,Normal,1
AR,Female,14,Normal,74
AR,Female,14,Obese,8
AR,Female,14,Overweight,8
AR,Female,14,Underweight,22
AR,Female,15,Normal,164
AR,Female,15,Obese,20
AR,Female,15,Overweight,45
AR,Female,15,Underweight,31
AR,Female,16,Normal,142
AR,Female,16,Obese,22
AR,Female,16,Overweight,32
AR,Female,16,Underweight,22
AR,Female,17,Normal,106
AR,Female,17,Obese,16
AR,Female,17,Overweight,32
AR,Female,17,Underweight,16
AR,Female,18,Normal,26
AR,Female,18,Obese,8
AR,Female,18,Overweight,16
AR,Female,18,Underweight,7
AR,Male,14,Normal,43
AR,Male,14,Obese,4
AR,Male,14,Overweight,2
AR,Male,14,Underweight,8
AR,Male,15,Normal,160
AR,Male,15,Obese,28
AR,Male,15,Overweight,30
AR,Male,15,Underweight,23
AR,Male,16,Normal,123
AR,Male,16,Obese,28
AR,Male,16,Overweight,39
AR,Male,16,Underweight,18
AR,Male,17,Normal,87
AR,Male,17,Obese,27
AR,Male,17,Overweight,33
AR,Male,17,Underweight,13
AR,Male,18,Normal,30
AR,Male,18,Obese,13
AR,Male,18,Overweight,17
AR,Male,18,Underweight,1
AR,Male,<= 12,Overweight,2
AZB,Female,13,Normal,3
AZB,Female,14,Normal,90
AZB,Female,14,Obese,9
AZB,Female,14,Overweight,19
AZB,Female,14,Underweight,24
AZB,Female,15,Normal,224
AZB,Female,15,Obese,20
AZB,Female,15,Overweight,44
AZB,Female,15,Underweight,55
AZB,Female,16,Normal,273
AZB,Female,16,Obese,25
AZB,Female,16,Overweight,49
AZB,Female,16,Underweight,51
AZB,Female,17,Normal,213
AZB,Female,17,Obese,37
AZB,Female,17,Overweight,55
AZB,Female,17,Underweight,30
AZB,Female,18,Normal,101
AZB,Female,18,Obese,25
AZB,Female,18,Overweight,41
AZB,Female,18,Underweight,26
AZB,Female,<= 12,Normal,1
AZB,Female,<= 12,Underweight,1
AZB,Male,13,Normal,1
AZB,Male,13,Obese,1
AZB,Male,13,Underweight,3
AZB,Male,14,Normal,62
AZB,Male,14,Obese,19
AZB,Male,14,Overweight,17
AZB,Male,14,Underweight,20
AZB,Male,15,Normal,192
AZB,Male,15,Obese,39
AZB,Male,15,Overweight,57
AZB,Male,15,Underweight,37
AZB,Male,16,Normal,226
AZB,Male,16,Obese,44
AZB,Male,16,Overweight,64
AZB,Male,16,Underweight,43
AZB,Male,17,Normal,196
AZB,Male,17,Obese,35
AZB,Male,17,Overweight,69
AZB,Male,17,Underweight,26
AZB,Male,18,Normal,141
AZB,Male,18,Obese,48
AZB,Male,18,Overweight,72
AZB,Male,18,Underweight,13
AZB,Male,<= 12,Normal,1
DE,Female,14,Normal,94
DE,Female,14,Obese,5
DE,Female,14,Overweight,22
DE,Female,14,Underweight,13
DE,Female,15,Normal,181
DE,Female,15,Obese,37
DE,Female,15,Overweight,52
DE,Female,15,Underweight,45
DE,Female,16,Normal,201
DE,Female,16,Obese,39
DE,Female,16,Overweight,62
DE,Female,16,Underweight,28
DE,Female,17,Normal,178
DE,Female,17,Obese,26
DE,Female,17,Overweight,45
DE,Female,17,Underweight,26
DE,Female,18,Normal,65
DE,Female,18,Obese,16
DE,Female,18,Overweight,27
DE,Female,18,Underweight,9
DE,Female,<= 12,Normal,1
DE,Male,14,Normal,63
DE,Male,14,Obese,8
DE,Male,14,Overweight,13
DE,Male,14,Underweight,18
DE,Male,15,Normal,190
DE,Male,15,Obese,29
DE,Male,15,Overweight,55
DE,Male,15,Underweight,22
DE,Male,16,Normal,203
DE,Male,16,Obese,43
DE,Male,16,Overweight,63
DE,Male,16,Underweight,24
DE,Male,17,Normal,192
DE,Male,17,Obese,32
DE,Male,17,Overweight,61
DE,Male,17,Underweight,8
DE,Male,18,Normal,80
DE,Male,18,Obese,21
DE,Male,18,Overweight,32
DE,Male,18,Underweight,2
DE,Male,<= 12,Obese,1
FL,Female,13,Normal,2
FL,Female,13,Overweight,1
FL,Female,14,Normal,121
FL,Female,14,Obese,14
FL,Female,14,Overweight,20
FL,Female,14,Underweight,34
FL,Female,15,Normal,334
FL,Female,15,Obese,25
FL,Female,15,Overweight,69
FL,Female,15,Underweight,83
FL,Female,16,Normal,370
FL,Female,16,Obese,45
FL,Female,16,Overweight,92
FL,Female,16,Underweight,68
FL,Female,17,Normal,304
FL,Female,17,Obese,43
FL,Female,17,Overweight,83
FL,Female,17,Underweight,46
FL,Female,18,Normal,171
FL,Female,18,Obese,20
FL,Female,18,Overweight,42
FL,Female,18,Underweight,24
FL,Female,<= 12,Normal,1
FL,Female,<= 12,Obese,1
FL,Male,13,Underweight,1
FL,Male,14,Normal,68
FL,Male,14,Obese,9
FL,Male,14,Overweight,13
FL,Male,14,Underweight,23
FL,Male,15,Normal,281
FL,Male,15,Obese,46
FL,Male,15,Overweight,63
FL,Male,15,Underweight,51
FL,Male,16,Normal,299
FL,Male,16,Obese,61
FL,Male,16,Overweight,93
FL,Male,16,Underweight,36
FL,Male,17,Normal,299
FL,Male,17,Obese,61
FL,Male,17,Overweight,106
FL,Male,17,Underweight,37
FL,Male,18,Normal,155
FL,Male,18,Obese,34
FL,Male,18,Overweight,73
FL,Male,18,Underweight,12
FL,Male,<= 12,Normal,4
HI,Female,13,Normal,10
HI,Female,13,Underweight,2
HI,Female,14,Normal,82
HI,Female,14,Obese,9
HI,Female,14,Overweight,13
HI,Female,14,Underweight,33
HI,Female,15,Normal,116
HI,Female,15,Obese,14
HI,Female,15,Overweight,27
HI,Female,15,Underweight,24
HI,Female,16,Normal,101
HI,Female,16,Obese,16
HI,Female,16,Overweight,26
HI,Female,16,Underweight,15
HI,Female,17,Normal,82
HI,Female,17,Obese,9
HI,Female,17,Overweight,19
HI,Female,17,Underweight,11
HI,Female,18,Normal,13
HI,Female,18,Obese,6
HI,Female,18,Overweight,1
HI,Female,18,Underweight,2
HI,Male,13,Normal,1
HI,Male,13,Overweight,2
HI,Male,13,Underweight,3
HI,Male,14,Normal,59
HI,Male,14,Obese,7
HI,Male,14,Overweight,9
HI,Male,14,Underweight,18
HI,Male,15,Normal,71
HI,Male,15,Obese,16
HI,Male,15,Overweight,23
HI,Male,15,Underweight,18
HI,Male,16,Normal,85
HI,Male,16,Obese,21
HI,Male,16,Overweight,25
HI,Male,16,Underweight,12
HI,Male,17,Normal,61
HI,Male,17,Obese,15
HI,Male,17,Overweight,19
HI,Male,17,Underweight,5
HI,Male,18,Normal,20
HI,Male,18,Obese,3
HI,Male,18,Overweight,9
HI,Male,18,Underweight,4
HI,Male,<= 12,Normal,1
HI,Male,<= 12,Overweight,1
