State,BMI Range,100% fruit juice 7 days,cigar smoke?,other tobacco?
AK,Normal,814,825,0
AK,Obese,120,121,0
AK,Overweight,226,226,0
AK,Underweight,89,91,0
AR,Normal,938,949,0
AR,Obese,167,172,0
AR,Overweight,244,254,0
AR,Underweight,159,160,0
AZB,Normal,1670,0,0
AZB,Obese,292,0,0
AZB,Overweight,469,0,0
AZB,Underweight,318,0,0
DE,Normal,1425,1431,0
DE,Obese,251,251,0
DE,Overweight,424,425,0
DE,Underweight,192,192,0
FL,Normal,2361,2393,0
FL,Obese,352,356,0
FL,Overweight,642,649,0
FL,Underweight,409,413,0
HI,Normal,691,0,0
HI,Obese,114,0,0
HI,Overweight,168,0,0
HI,Underweight,143,0,0
IA,Normal,874,873,0
IA,Obese,115,115,0
IA,Overweight,204,204,0
IA,Underweight,129,128,0
ID,Normal,907,915,0
ID,Obese,124,125,0
ID,Overweight,181,185,0
ID,Underweight,134,138,0
IL,Normal,1332,1362,0
IL,Obese,250,257,0
IL,Overweight,415,427,0
IL,Underweight,174,177,0
KS,Normal,981,982,0
KS,Obese,150,154,0
KS,Overweight,257,261,0
KS,Underweight,154,155,0
KY,Normal,1934,1969,0
KY,Obese,422,433,0
KY,Overweight,600,619,0
KY,Underweight,339,342,0
LA,Normal,746,751,0
LA,Obese,157,161,0
LA,Overweight,238,241,0
LA,Underweight,108,110,0
ME,Normal,775,783,0
ME,Obese,125,128,0
ME,Overweight,178,178,0
ME,Underweight,123,124,0
MI,Normal,2135,2146,0
MI,Obese,328,332,0
MI,Overweight,609,613,0
MI,Underweight,270,274,0
MO,Normal,888,890,0
MO,Obese,165,168,0
MO,Overweight,248,249,0
MO,Underweight,122,123,0
MS,Normal,823,833,0
MS,Obese,224,225,0
MS,Overweight,298,299,0
MS,Underweight,116,116,0
MT,Normal,2538,2540,0
MT,Obese,319,321,0
MT,Overweight,579,579,0
MT,Underweight,391,395,0
ND,Normal,20,20,0
ND,Obese,3,3,0
ND,Overweight,5,5,0
ND,Underweight,8,8,0
